ts_code,trade_date,open,high,low,close,MACD_Hist,Selected,Down,factor_turn,return_rate_ewm,Signal,stop
000807.SZ,20241202,13.64,13.88,13.57,13.76,,0,,-0.0,,,
000807.SZ,20241203,13.7,13.75,13.52,13.63,,0,,-0.0420579644231275,-0.9492586796756318,,
000807.SZ,20241204,13.69,14.18,13.67,13.94,,0,,-0.1392537776757603,0.729783007410737,,
000807.SZ,20241205,13.87,14.06,13.71,13.89,,0,,-0.0917308468108134,0.3298691289475691,,
000807.SZ,20241206,13.82,14.19,13.77,14.04,,0,,-0.066391876489543,0.5447240559079116,,
000807.SZ,20241209,13.96,14.08,13.78,13.84,,0,,-0.0156884603154139,0.0659073747055199,,
000807.SZ,20241210,14.35,14.68,14.02,14.06,,0,,-0.2433602879609726,0.3846986452520171,,
000807.SZ,20241211,14.07,15.17,14.07,14.94,,0,,-0.3117775914702771,1.4598052161285549,,
000807.SZ,20241212,14.9,15.04,14.8,14.97,,0,,-0.1638798456313578,1.2421455909822257,,
000807.SZ,20241213,14.82,15.0,14.6,14.84,,0,,-0.097170362069458,0.9029948500574776,,
000807.SZ,20241216,14.82,15.05,14.58,14.68,,0,,-0.0974154590085596,0.6037674116394556,,
000807.SZ,20241217,14.58,14.71,14.32,14.39,,0,,-0.0824742966524383,0.2329062423436984,,
000807.SZ,20241218,14.52,14.89,14.36,14.41,,0,,-0.0411342518585983,0.2200984348122448,,
000807.SZ,20241219,14.25,14.52,14.07,14.48,,0,,-0.1286199337191976,0.2547118739702486,,
000807.SZ,20241220,14.45,14.53,14.02,14.07,,0,,-0.0407036497060705,-0.1404309215488295,,
000807.SZ,20241223,14.07,14.31,14.06,14.17,,0,,-0.0767590567165306,-0.0364306182956082,,
000807.SZ,20241224,14.11,14.36,14.08,14.34,-0.018646093332521,0,,-0.1342823231712733,0.1101781325029835,,
000807.SZ,20241225,14.28,14.59,14.24,14.37,-0.0058811976863987,0,0.0128,-0.1452223798514721,0.1216881644765773,,
000807.SZ,20241226,14.35,14.41,14.16,14.2,-0.0146718986300134,0,-0.0088,-0.1550428581192091,-0.027937321738092,,
000807.SZ,20241227,14.2,14.27,13.73,13.75,-0.0556323893765653,0,-0.041,-0.1149371494044802,-0.3853455563678337,,
000807.SZ,20241230,13.7,13.99,13.68,13.92,-0.0469406088823291,0,0.0087,-0.042916023557781,-0.2076045014315262,,
000807.SZ,20241231,13.9,13.94,13.51,13.53,-0.069867071151721,0,-0.0229,-0.0439109461874593,-0.4934102276067602,,
000807.SZ,20250102,13.58,14.05,13.4,13.73,-0.0470571072864293,0,0.0228,-0.0997045908374356,-0.2834465529756672,,
000807.SZ,20250103,13.73,15.05,13.73,14.53,0.0470319820144155,0,0.0941,-0.4908880636577569,0.3458774963384646,,
000807.SZ,20250106,14.6,15.4,14.47,14.68,0.0946921229133335,0,0.0477,-0.3778933401147066,0.4172096618043342,,
000807.SZ,20250107,14.67,15.3,14.49,15.07,0.1371813872044409,0,0.0425,-0.2312796277900347,0.6459245219789961,,
000807.SZ,20250108,15.02,15.05,14.65,14.95,0.1214036018522262,0,-0.0158,-0.1553471428942424,0.4972490557852014,,
000807.SZ,20250109,14.9,15.22,14.75,15.03,0.1014386498000233,0,-0.02,-0.1303282065770333,0.5009691043552622,,
000807.SZ,20250110,15.03,15.94,15.03,15.4,0.1088099917387556,0,0.0074,-0.1556514523296755,0.6967477172848622,,
000807.SZ,20250113,15.2,15.75,15.17,15.68,0.116271728604155,0,0.0075,-0.1469279695411081,0.808108206617077,,
000807.SZ,20250114,15.61,15.88,15.47,15.7,0.096511322004597,0,-0.0198,-0.1266927123744903,0.7398980017709627,,
000807.SZ,20250115,15.83,16.06,15.6,15.8,0.0749889658039851,0,-0.0215,-0.11734554187792,0.7294300039847271,,
000807.SZ,20250116,15.87,16.72,15.87,16.63,0.1241928051217658,0,0.0492,-0.3277814924891703,1.1652827782861892,,
000807.SZ,20250117,16.55,16.9,16.42,16.76,0.126630168552819,0,0.0024,-0.1606840505986309,1.127057491658746,,
000807.SZ,20250120,16.82,17.0,16.61,16.67,0.0870327922388579,0,-0.0396,-0.114333159724154,0.9629783582057766,,
000807.SZ,20250121,16.74,16.87,16.42,16.74,0.0504672832739192,0,-0.0366,-0.1839680095591352,0.9095662002193404,,
000807.SZ,20250122,16.71,16.82,16.32,16.4,-0.0187372485810617,0,-0.0692,-0.0692229462669495,0.6196160970130208,,
000807.SZ,20250123,16.49,16.56,15.94,16.0,-0.0958902387965208,1,-0.0772,-0.0469541597201816,0.318003361996589,,
000807.SZ,20250124,16.09,16.16,15.74,16.03,-0.122072387727143,1,-0.0262,-0.0670670649312166,0.3052738836378181,,
000807.SZ,20250127,15.98,16.57,15.92,16.48,-0.0817762427571985,0,0.0403,-0.0952158403752283,0.5447029120903579,B,15.9856
000807.SZ,20250205,16.41,16.5,16.0,16.42,-0.0680109666185235,0,0.0138,-0.1064541039221568,0.4564786074627681,,
000807.SZ,20250206,16.4,16.65,16.1,16.29,-0.0729600256170691,0,-0.0049,-0.1251389083302716,0.3353013554132752,,
000807.SZ,20250207,16.4,17.11,16.19,16.96,-0.0076929924816628,0,0.0653,-0.1032891286780345,0.6925753207682297,,
000807.SZ,20250210,16.9,17.35,16.56,16.81,-0.0018695901706019,0,0.0058,-0.2384039124742381,0.5399457171899009,,
000807.SZ,20250211,16.8,17.08,16.58,16.74,-0.013584339870993,0,-0.0117,-0.1008614837461969,0.4476516060334325,,
000807.SZ,20250212,16.6,16.69,16.22,16.35,-0.0608910186666753,0,-0.0473,-0.0697432034798809,0.1775221422725871,S,
000807.SZ,20250213,16.31,16.65,16.3,16.37,-0.0754786894544418,0,-0.0146,-0.1057983128514137,0.1722048279905149,,
000807.SZ,20250214,16.3,16.71,16.25,16.69,-0.0448482256254375,0,0.0306,-0.1512483780317842,0.341714799208936,,
000807.SZ,20250217,16.62,16.79,15.99,16.1,-0.0865626360644294,0,-0.0417,-0.0533710338504787,-0.03669759478993,,
000807.SZ,20250218,16.05,16.3,15.88,16.05,-0.0986991589506619,0,-0.0121,-0.1298748211894326,-0.0630208748928121,,
000807.SZ,20250219,16.05,16.25,15.84,16.05,-0.0907615957591407,0,0.0079,-0.1043453412249429,-0.0569783420856885,,
000807.SZ,20250220,16.18,16.26,15.97,16.22,-0.0584525533781215,0,0.0323,-0.1438183176539366,0.0494389637969822,,
000807.SZ,20250221,16.35,16.86,16.08,16.1,-0.0480664795994697,0,0.0104,-0.084766580220516,-0.0264077933795382,,
000807.SZ,20250224,15.9,16.33,15.82,16.27,-0.0199876831417382,0,0.0281,-0.0452243057400138,0.0766541621481784,,
000807.SZ,20250225,16.19,16.35,15.9,16.06,-0.0249912007560518,0,-0.005,-0.0924948632551318,-0.0549638599754979,,
000807.SZ,20250226,16.06,16.49,16.01,16.06,-0.0223788959009225,0,0.0026,-0.1576925483129479,-0.0497078248030497,,
000807.SZ,20250227,16.11,16.26,15.6,15.95,-0.027236955721764,0,-0.0049,-0.0843114486636349,-0.110654059483484,,
000807.SZ,20250228,15.96,16.36,15.82,16.1,-0.0092550177311476,0,0.018,-0.0818325232823838,-0.0106354330959197,,
000807.SZ,20250303,16.3,17.3,16.3,17.03,0.0896393716262355,0,0.0989,-0.161847202703452,0.5268274983953746,,
000807.SZ,20250304,17.0,17.33,16.82,17.23,0.135350488876866,0,0.0457,-0.1223064323298955,0.5880160202996098,,
000807.SZ,20250305,17.31,18.1,17.14,17.98,0.2027374730946104,0,0.0674,-0.1599778415551047,0.9386696077952976,,
000807.SZ,20250306,18.18,18.63,17.94,18.08,0.2037702574746415,0,0.001,-0.0270252847351854,0.9020128551651284,,
000807.SZ,20250307,18.11,18.85,18.1,18.55,0.2100218276247848,0,0.0063,-0.065634704970567,1.0608411944789158,,
000807.SZ,20250310,18.58,19.27,18.28,18.47,0.1621900901229118,0,-0.0478,-0.0241085647502016,0.9183866259226584,,
000807.SZ,20250311,18.25,18.25,17.8,18.07,0.0670859134190298,0,-0.0951,-0.1222343197527021,0.6219103915325915,,
000807.SZ,20250312,18.0,18.59,18.0,18.23,0.0199855032234416,0,-0.0471,-0.1034651106082743,0.6466748521655559,,
000807.SZ,20250313,18.28,18.68,18.18,18.46,0.0062425452565354,1,-0.0137,-0.1211956907497823,0.7045711976011197,,
000807.SZ,20250314,18.68,18.86,18.15,18.3,-0.0289615118901633,1,-0.0352,-0.1055053174005939,0.5543789626547361,,
000807.SZ,20250317,18.3,18.43,17.93,17.98,-0.0822608149338939,1,-0.0533,-0.1506558056322659,0.3333263394022878,,
000807.SZ,20250318,17.97,18.2,17.8,18.02,-0.0992024632117246,1,-0.0169,-0.1534226214719927,0.3227343905001047,,
000807.SZ,20250319,17.81,17.94,17.48,17.9,-0.1125416386784902,1,-0.0133,-0.1109559653120879,0.2282784429966624,,
000807.SZ,20250320,18.08,18.4,17.7,17.8,-0.118887445495222,1,-0.0063,-0.0848514629723629,0.153121177895904,,
000807.SZ,20250321,17.7,17.9,17.3,17.43,-0.14548238761374,1,-0.0266,-0.1145090660573647,-0.0616745061582438,,
000807.SZ,20250324,17.39,18.0,17.32,17.9,-0.0942027627317821,0,0.0513,-0.0736710525403461,0.1977815911967732,B,17.363
000807.SZ,20250325,17.88,18.13,17.5,17.73,-0.078831014624983,0,0.0154,-0.0992108274495939,0.0879967202242546,,
000807.SZ,20250326,17.75,18.0,17.35,17.51,-0.0842099993788304,0,-0.0054,-0.0821306796806503,-0.0393679597346643,,
000807.SZ,20250327,17.0,17.8,17.0,17.62,-0.0646430166721543,0,0.0196,-0.06832549075251,0.0240555209748286,,
000807.SZ,20250328,17.49,17.58,17.14,17.37,-0.07136151101602,0,-0.0067,-0.1113641833467339,-0.1143933943358575,,
