ts_code,trade_date,Signal,open,close,stop,Down,action
000963.SZ,20250106,B,33.1,32.8,31.815999999999995,0.0307,buy
300815.SZ,20250106,B,14.46,14.63,14.1911,0.0188,buy
601156.SH,20250106,B,16.51,16.63,16.1311,0.0115,buy
000963.SZ,20250107,T,32.8,31.65,,-0.0385,sell
601021.SH,20250107,B,56.5,55.65,53.9805,0.0231,buy
603613.SH,20250107,B,23.68,24.18,23.4546,0.05,buy
600938.SH,20250108,B,28.91,29.11,28.2367,0.0397,buy
601919.SH,20250110,B,14.26,14.14,13.7158,0.003,buy
601156.SH,20250110,T,16.39,16.07,,-0.044,sell
601021.SH,20250110,S,56.11,54.7,,-0.1175,sell
601088.SH,20250113,B,39.23,38.89,37.7233,0.0239,buy
603393.SH,20250113,B,27.3,27.37,26.5489,0.0331,buy
600938.SH,20250120,S,29.12,28.41,,-0.0793,sell
601088.SH,20250120,S,39.7,38.74,,-0.0533,sell
603613.SH,20250122,S,25.08,24.95,,-0.0499,sell
600938.SH,20250123,B,27.7,27.6,26.772000000000002,0.0166,buy
603613.SH,20250124,B,24.99,25.77,24.9969,0.0533,buy
600426.SH,20250127,B,20.61,20.98,20.3506,0.0324,buy
000807.SZ,20250127,B,15.98,16.48,15.9856,0.0403,buy
603393.SH,20250205,S,30.01,29.15,,-0.1281,sell
601156.SH,20250207,B,14.68,14.86,14.4142,0.0358,buy
603393.SH,20250211,B,29.48,29.6,28.712,0.0056,buy
000807.SZ,20250212,S,16.6,16.35,,-0.0473,sell
603613.SH,20250213,S,29.52,28.44,,-0.0881,sell
000963.SZ,20250213,B,34.4,34.62,33.581399999999995,0.0062,buy
600426.SH,20250214,S,21.47,21.11,,-0.0432,sell
601088.SH,20250214,B,38.17,38.13,36.9861,0.0077,buy
000963.SZ,20250217,S,34.57,33.73,,-0.061,sell
601088.SH,20250217,S,38.1,37.28,,-0.0664,sell
600938.SH,20250217,T,26.85,26.55,,-0.0361,sell
603393.SH,20250218,T,28.7,28.49,,-0.0276,sell
601156.SH,20250220,T,14.48,14.34,,-0.0074,sell
603393.SH,20250220,B,28.19,28.33,27.480099999999997,0.0316,buy
600426.SH,20250224,B,20.13,20.25,19.6425,0.0277,buy
605117.SH,20250224,B,88.4,91.84,89.0848,0.3722,buy
600600.SH,20250224,B,67.85,68.67,66.6099,0.0464,buy
600600.SH,20250225,S,68.35,67.3,,-0.0947,sell
601156.SH,20250226,B,13.93,13.99,13.5703,0.0072,buy
605117.SH,20250227,S,92.87,91.71,,-0.0873,sell
300815.SZ,20250227,S,16.92,16.36,,-0.0683,sell
601919.SH,20250228,T,13.72,13.62,,0.0073,sell
300815.SZ,20250304,B,15.94,16.02,15.539399999999999,0.0031,buy
000963.SZ,20250310,B,34.1,34.21,33.1837,0.0261,buy
603393.SH,20250312,S,30.53,30.09,,-0.0481,sell
600426.SH,20250313,S,21.93,21.65,,-0.0493,sell
300815.SZ,20250314,S,17.46,17.28,,-0.0507,sell
601021.SH,20250314,B,51.03,51.96,50.4012,0.1043,buy
300815.SZ,20250317,B,17.35,17.85,17.314500000000002,0.0217,buy
000963.SZ,20250317,S,35.59,34.56,,-0.077,sell
300815.SZ,20250319,S,17.99,17.82,,-0.0412,sell
601021.SH,20250321,S,52.01,51.4,,-0.0519,sell
601088.SH,20250324,B,36.9,37.12,36.0064,0.0348,buy
000963.SZ,20250324,B,33.75,33.86,32.8442,0.0073,buy
600600.SH,20250324,B,72.7,74.04,71.81880000000001,0.086,buy
601919.SH,20250324,B,14.5,14.6,14.161999999999999,0.0161,buy
603393.SH,20250324,B,29.81,29.93,29.0321,0.0085,buy
600426.SH,20250324,B,21.49,21.8,21.146,0.0166,buy
000807.SZ,20250324,B,17.39,17.9,17.363,0.0513,buy
300815.SZ,20250326,B,17.18,17.26,16.7422,0.0095,buy
603613.SH,20250326,B,27.6,27.59,26.7623,0.0097,buy
600861.SH,20250327,B,20.52,20.68,20.0596,0.0509,buy
603393.SH,20250328,S,30.59,30.0,,-0.0635,sell
600600.SH,20250328,S,77.57,76.53,,-0.1194,sell
601088.SH,20250328,S,37.89,37.83,,-0.0458,sell
603613.SH,20250331,T,26.76,26.35,,-0.0265,sell
000807.SZ,20250331,T,17.4,17.34,,0.0055,sell
000963.SZ,20250331,S,36.84,36.7,,-0.0469,sell
600938.SH,20250401,B,26.27,26.52,25.7244,0.0514,buy
603393.SH,20250402,B,28.9,28.93,28.062099999999997,0.0181,buy
605117.SH,20250402,B,93.7,94.8,91.95599999999999,0.1163,buy
601156.SH,20250403,S,14.04,13.89,,-0.0439,sell
601919.SH,20250403,T,14.35,14.16,,-0.0403,sell
600426.SH,20250403,S,22.42,22.14,,-0.0545,sell
600938.SH,20250403,T,25.5,25.68,,-0.0389,sell
605117.SH,20250403,S,93.43,92.0,,-0.1972,sell
601021.SH,20250403,B,51.21,51.76,50.20719999999999,0.025,buy
603393.SH,20250407,T,27.88,26.06,,-0.2236,sell
601021.SH,20250407,T,50.18,49.3,,-0.1982,sell
300815.SZ,20250407,T,15.98,14.06,,-0.2642,sell
600861.SH,20250407,T,19.99,19.77,,-0.1259,sell
000963.SZ,20250410,B,36.5,36.82,35.7154,0.0474,buy
000807.SZ,20250410,B,14.68,14.73,14.2881,0.1362,buy
600600.SH,20250416,B,78.45,79.3,76.92099999999999,0.0916,buy
000807.SZ,20250416,T,14.33,14.03,,0.0059,sell
000963.SZ,20250417,S,37.24,36.83,,-0.0416,sell
600600.SH,20250421,S,78.82,78.25,,-0.1154,sell
601919.SH,20250423,B,14.25,14.27,13.841899999999999,0.002,buy
601088.SH,20250424,B,38.5,38.94,37.7718,0.0406,buy
603613.SH,20250428,B,23.2,23.35,22.6495,0.0417,buy
601088.SH,20250428,S,37.96,38.0,,-0.0586,sell
601021.SH,20250428,B,53.15,53.37,51.768899999999995,0.0766,buy
000963.SZ,20250429,B,37.13,37.41,36.287699999999994,0.0028,buy
600861.SH,20250430,B,20.85,21.13,20.4961,0.0445,buy
603393.SH,20250507,B,28.0,28.0,27.16,0.0123,buy
603613.SH,20250509,S,24.07,23.52,,-0.0475,sell
601021.SH,20250509,S,55.09,54.44,,-0.1092,sell
000807.SZ,20250512,B,14.73,15.12,14.6664,0.0536,buy
000963.SZ,20250512,S,38.77,37.66,,-0.1278,sell
601919.SH,20250516,S,15.88,16.05,,-0.0455,sell
