date,total_cash
20241202,100000.0
20241203,100000.0
20241204,100000.0
20241205,100000.0
20241206,100000.0
20241209,100000.0
20241210,100000.0
20241211,100000.0
20241212,100000.0
20241213,100000.0
20241216,100000.0
20241217,100000.0
20241218,100000.0
20241219,100000.0
20241220,100000.0
20241223,100000.0
20241224,100000.0
20241225,100000.0
20241226,100000.0
20241227,100000.0
20241230,100000.0
20241231,100000.0
20250102,100000.0
20250103,100000.0
20250106,99950.87110524002
20250107,99215.04800424002
20250108,99259.03558298002
20250109,97434.03558298002
20250110,95784.96751138002
20250113,96428.97659270003
20250114,98674.97659270003
20250115,98441.97659270003
20250116,100110.97659270003
20250117,99803.97659270003
20250120,99109.60589752003
20250121,98935.60589752003
20250122,98925.60589752003
20250123,99082.14308232002
20250124,99024.14308232002
20250127,99993.14308232002
20250205,98277.39913172003
20250206,98873.39913172003
20250207,98613.48206180002
20250210,98941.48206180002
20250211,99514.48206180002
20250212,98891.48206180002
20250213,97828.48206180002
20250214,97651.48206180002
20250217,97530.91726990003
20250218,96400.91726990003
20250219,97424.91726990003
20250220,97923.64758270004
20250221,97673.64758270004
20250224,99759.62233970004
20250225,98837.62233970004
20250226,99875.32608424003
20250227,99356.33224376004
20250228,98803.33224376004
20250303,98694.33224376004
20250304,99412.90703300005
20250305,100316.90703300005
20250306,100385.90703300005
20250307,102909.90703300005
20250310,103992.90703300005
20250311,105934.90703300005
20250312,105428.83792164005
20250313,105750.67318144004
20250314,105217.82044848005
20250317,105395.18309228006
20250318,105803.18309228006
20250319,105516.58344452005
20250320,105076.58344452005
20250321,104355.88652852006
20250324,104364.83112252007
20250325,105904.83112252007
20250326,105658.83112252007
20250327,108758.83112252007
20250328,107789.70273836008
20250331,107521.18972016008
20250401,107663.77415096009
20250402,105739.77415096009
20250403,104294.58979382011
20250407,104294.58979382011
20250408,104294.58979382011
20250409,104294.58979382011
20250410,104243.03210764012
20250411,103795.03210764012
20250414,104705.03210764012
20250415,102969.03210764012
20250416,102734.4825539401
20250417,101756.70464766011
20250418,101756.70464766011
20250421,101756.70464766011
20250422,101756.70464766011
20250423,101706.04006864011
20250424,101422.04006864011
20250425,102487.04006864011
20250428,102913.04006864011
20250429,103126.04006864011
20250430,102345.04006864011
20250506,103765.04006864011
20250507,105469.04006864011
20250508,104546.04006864011
20250509,106250.04006864011
20250512,108664.04006864011
20250513,111646.04006864011
20250514,116616.04006864011
20250515,114415.0400686401
20250516,114287.06940594013
20250519,114287.06940594013
20250520,114230.16907872014
20250521,113290.16907872015
20250522,112303.16907872014
20250523,110274.23267188013
20250526,110219.23107248015
20250527,110389.23107248015
20250528,110729.23107248015
20250529,112854.23107248015
20250530,111834.23107248015
20250603,111579.23107248015
20250604,112854.23107248015
20250605,112854.23107248015
20250606,114129.23107248015
20250609,114214.23107248015
20250610,113789.23107248015
20250611,115574.23107248015
20250612,115489.23107248015
20250613,113789.23107248015
20250616,113024.23107248015
20250617,113534.23107248015
20250618,112344.23107248015
20250619,111154.23107248015
20250620,109029.23107248015
20250623,109879.23107248015
20250624,110644.23107248015
20250625,110984.23107248015
20250626,108944.23107248015
20250627,112089.23107248015
20250630,111494.23107248015
20250701,112174.23107248015
20250702,112599.23107248015
20250703,112684.23107248015
20250704,112769.23107248015
20250707,112854.23107248015
20250708,113619.23107248015
20250709,113789.23107248015
20250710,117104.23107248015
20250711,117444.23107248015
20250714,116084.23107248015
20250715,115489.23107248015
20250716,115064.23107248015
20250717,114724.23107248015
20250718,115829.23107248015
20250721,118294.23107248015
20250722,120674.23107248015
20250723,119739.23107248015
20250724,121014.23107248015
20250725,120419.23107248015
20250728,120929.23107248015
20250729,119909.23107248015
20250730,125094.23107248015
20250731,119849.39825328016
20250801,119791.02674954015
20250804,119693.02674954015
20250805,120995.02674954015
20250806,121803.84260746016
20250807,121535.84260746016
20250808,124930.84260746016
20250811,124555.84260746016
20250812,124168.20754408016
20250813,125729.20754408016
20250814,125087.20754408016
20250815,127571.20754408016
20250818,126097.03276918015
20250819,125854.03276918015
20250820,125719.03276918014
20250821,125793.50074582014
20250822,126082.50074582014
20250825,126935.50074582014
20250826,127282.50074582014
20250827,125764.98776786013
20250828,125224.98776786013
20250829,125785.75878086014
20250901,126646.75878086014
20250902,125215.75878086014
20250903,124939.76202086014
20250904,121130.44256146014
20250905,121801.35071090014
20250908,125715.35071090014
20250909,125243.35071090014
20250910,124781.55960606012
20250911,124705.01671146014
20250912,124192.01671146014
20250915,123755.01671146014
20250916,123589.48280786014
