Index,Datetime,stock_code,open,low,high,close,MACD_Hist,Selected,Down,Up_Signal,volume,Signal,stop
4399,20250801140000,000807.SZ,15.64,15.63,15.64,15.63,,0,,0,1288,,
4400,20250801140100,000807.SZ,15.63,15.63,15.64,15.64,,0,,0,772,,
4401,20250801140200,000807.SZ,15.64,15.62,15.65,15.64,,0,,0,872,,
4402,20250801140300,000807.SZ,15.63,15.63,15.65,15.65,,0,,0,1013,,
4403,20250801140400,000807.SZ,15.65,15.63,15.65,15.63,,0,,0,979,,
4404,20250801140500,000807.SZ,15.63,15.62,15.63,15.62,,0,,0,877,,
4405,20250801140600,000807.SZ,15.62,15.62,15.63,15.62,,0,,0,350,,
4406,20250801140700,000807.SZ,15.63,15.61,15.63,15.62,,0,,0,746,,
4407,20250801140800,000807.SZ,15.62,15.61,15.62,15.62,,0,,0,432,,
4408,20250801140900,000807.SZ,15.62,15.61,15.63,15.63,,0,,0,693,,
4409,20250801141000,000807.SZ,15.62,15.62,15.63,15.63,,0,,0,503,,
4410,20250801141100,000807.SZ,15.62,15.62,15.62,15.62,,0,,0,481,,
4411,20250801141200,000807.SZ,15.62,15.62,15.63,15.62,,0,,0,415,,
4412,20250801141300,000807.SZ,15.62,15.62,15.63,15.62,,0,,0,893,,
4413,20250801141400,000807.SZ,15.63,15.62,15.63,15.62,,0,,0,361,,
4414,20250801141500,000807.SZ,15.62,15.62,15.64,15.63,,0,,0,477,,
4415,20250801141600,000807.SZ,15.63,15.63,15.64,15.64,,0,,0,1072,,
4416,20250801141700,000807.SZ,15.64,15.63,15.64,15.63,,0,,0,305,,
4417,20250801141800,000807.SZ,15.63,15.63,15.64,15.64,,0,,0,640,,
4418,20250801141900,000807.SZ,15.65,15.64,15.66,15.65,,0,,0,796,,
4419,20250801142000,000807.SZ,15.66,15.64,15.66,15.64,,0,,0,1046,,
4420,20250801142100,000807.SZ,15.65,15.64,15.65,15.64,,0,,0,236,,
4421,20250801142200,000807.SZ,15.65,15.64,15.65,15.64,,0,,0,655,,
4422,20250801142300,000807.SZ,15.65,15.65,15.68,15.68,,0,,0,3204,,
4423,20250801142400,000807.SZ,15.68,15.66,15.68,15.68,,0,,0,863,,
4424,20250801142500,000807.SZ,15.67,15.67,15.68,15.68,,0,,0,1212,,
