date,total_cash
20250718140000,100000.0
20250718140100,100000.0
20250718140200,100000.0
20250718140300,100000.0
20250718140400,100000.0
20250718140500,100000.0
20250718140600,100000.0
20250718140700,100000.0
20250718140800,100000.0
20250718140900,100000.0
20250718141000,100000.0
20250718141100,100000.0
20250718141200,100000.0
20250718141300,100000.0
20250718141400,100000.0
20250718141500,100000.0
20250718141600,100000.0
20250718141700,100000.0
20250718141800,100000.0
20250718141900,100000.0
20250718142000,100000.0
20250718142100,100000.0
20250718142200,100000.0
20250718142300,100000.0
20250718142400,100000.0
20250718142500,100000.0
20250718142600,100000.0
20250718142700,100000.0
20250718142800,100000.0
20250718142900,100000.0
20250718143000,100000.0
20250718143100,100000.0
20250718143200,100000.0
20250718143300,100000.0
20250718143400,100000.0
20250718143500,100000.0
20250718143600,100000.0
20250718143700,100000.0
20250718143800,100000.0
20250718143900,100000.0
20250718144000,100000.0
20250718144100,100000.0
20250718144200,100000.0
20250718144300,100000.0
20250718144400,100000.0
20250718144500,100000.0
20250718144600,100000.0
20250718144700,100000.0
20250718144800,100000.0
20250718144900,100000.0
20250718145000,100000.0
20250718145100,100000.0
20250718145200,100000.0
20250718145300,100000.0
20250718145400,100000.0
20250718145500,100000.0
20250718145600,100000.0
20250718145700,100000.0
20250718145800,100000.0
20250718145900,100000.0
20250718150000,100000.0
20250722093000,100000.0
20250722093100,100000.0
20250722093200,100000.0
20250722093300,100000.0
20250722093400,100000.0
20250722093500,100000.0
20250722093600,100000.0
20250722093700,100000.0
20250722093800,100000.0
20250722093900,100000.0
20250722094000,100000.0
20250722094100,100000.0
20250722094200,100000.0
20250722094300,100000.0
20250722094400,100000.0
20250722094500,100000.0
20250722094600,100000.0
20250722094700,100000.0
20250722094800,100000.0
20250722094900,100000.0
20250722095000,100000.0
20250722095100,100000.0
20250722095200,100000.0
20250722095300,100000.0
20250722095400,100000.0
20250722095500,100000.0
20250722095600,100000.0
20250722095700,100000.0
20250722095800,100000.0
20250722095900,100000.0
20250722100000,100000.0
20250722100100,100000.0
20250722100200,100000.0
20250722100300,100000.0
20250722100400,99993.00383362
20250722100500,99984.00383362
20250722100600,99993.00383362
20250722100700,99993.00383362
20250722100800,99993.00383362
20250722100900,99993.00383362
20250722101000,99993.00383362
20250722101100,100002.00383362
20250722101200,100002.00383362
20250722101300,99993.00383362
20250722101400,99993.00383362
20250722101500,99984.00383362
20250722101600,99984.00383362
20250722101700,99993.00383362
20250722101800,100002.00383362
20250722101900,99993.00383362
20250722102000,99993.00383362
20250722102100,99984.00383362
20250722102200,99984.00383362
20250722102300,99984.00383362
20250722102400,99984.00383362
20250722102500,99984.00383362
20250722102600,99975.00383362
20250722102700,99975.00383362
20250722102800,99975.00383362
20250722102900,99975.00383362
20250722103000,99975.00383362
20250722103100,100011.00383362
20250722103200,100002.00383362
20250722103300,100002.00383362
20250722103400,100011.00383362
20250722103500,99984.00383362
20250722103600,99993.00383362
20250722103700,99993.00383362
20250722103800,100002.00383362
20250722103900,100002.00383362
20250722104000,99993.00383362
20250722104100,100011.00383362
20250722104200,100020.00383362
20250722104300,100011.00383362
20250722104400,99993.00383362
20250722104500,99993.00383362
20250722104600,99993.00383362
20250722104700,100002.00383362
20250722104800,100002.00383362
20250722104900,100011.00383362
20250722105000,100011.00383362
20250722105100,100002.00383362
20250722105200,100011.00383362
20250722105300,100011.00383362
20250722105400,100002.00383362
20250722105500,100011.00383362
20250722105600,100002.00383362
20250722105700,100002.00383362
20250722105800,99993.00383362
20250722105900,100011.00383362
20250722110000,100011.00383362
20250722110100,100002.00383362
20250722110200,100002.00383362
20250722110300,100002.00383362
20250722110400,99993.00383362
20250722110500,99966.00383362
20250722110600,100002.00383362
20250722110700,99993.00383362
20250722110800,99993.00383362
20250722110900,99993.00383362
20250722111000,99975.00383362
20250722111100,99984.00383362
20250722111200,99993.00383362
20250722111300,99984.00383362
20250722111400,99993.00383362
20250722111500,100002.00383362
20250722111600,99993.00383362
20250722111700,99993.00383362
20250722111800,100011.00383362
20250722111900,100002.00383362
20250722112000,100002.00383362
20250722112100,100002.00383362
20250722112200,100002.00383362
20250722112300,100020.00383362
20250722112400,100020.00383362
20250722112500,100020.00383362
20250722112600,100020.00383362
20250722112700,100002.00383362
20250722112800,100011.00383362
20250722112900,100002.00383362
20250722113000,100011.00383362
20250722130100,100047.00383362
20250722130200,100101.00383362
20250722130300,100101.00383362
20250722130400,100110.00383362
20250722130500,100110.00383362
20250722130600,100101.00383362
20250722130700,100110.00383362
20250722130800,100128.00383362
20250722130900,100146.00383362
20250722131000,100137.00383362
20250722131100,100128.00383362
20250722131200,100110.00383362
20250722131300,100119.00383362
20250722131400,100128.00383362
20250722131500,100137.00383362
20250722131600,100137.00383362
20250722131700,100128.00383362
20250722131800,100128.00383362
20250722131900,100128.00383362
20250722132000,100137.00383362
20250722132100,100128.00383362
20250722132200,100128.00383362
20250722132300,100164.00383362
20250722132400,100155.00383362
20250722132500,100155.00383362
20250722132600,100164.00383362
20250722132700,100155.00383362
20250722132800,100173.00383362
20250722132900,100209.00383362
20250722133000,100218.00383362
20250722133100,100200.00383362
20250722133200,100191.00383362
20250722133300,100209.00383362
20250722133400,100191.00383362
20250722133500,100218.00383362
20250722133600,100209.00383362
20250722133700,100218.00383362
20250722133800,100209.00383362
20250722133900,100209.00383362
20250722134000,100209.00383362
20250722134100,100209.00383362
20250722134200,100209.00383362
20250722134300,100209.00383362
20250722134400,100200.00383362
20250722134500,100200.00383362
20250722134600,100182.00383362
20250722134700,100173.00383362
20250722134800,100164.00383362
20250722134900,100164.00383362
20250722135000,100164.00383362
20250722135100,100173.00383362
20250722135200,100182.00383362
20250722135300,100182.00383362
20250722135400,100173.00383362
20250722135500,100191.00383362
20250722135600,100200.00383362
20250722135700,100182.00383362
20250722135800,100191.00383362
20250722135900,100173.00383362
20250722140000,100182.00383362
20250722140100,100164.00383362
20250722140200,100155.00383362
20250722140300,100155.00383362
20250722140400,100155.00383362
20250722140500,100155.00383362
20250722140600,100155.00383362
20250722140700,100155.00383362
20250722140800,100146.00383362
20250722140900,100155.00383362
20250722141000,100146.00383362
20250722141100,100155.00383362
20250722141200,100155.00383362
